scenario,base_controller,seed,mode,window,first_cycle,last_cycle,cycles,simulated_hours,vehicles_demanded,vehicles_admitted,vehicles_rejected,vehicles_served_stop_line,vehicles_exited,throughput_vehicles_per_hour,blocked_vehicle_cycles,waiting_vehicle_seconds,waiting_seconds_per_admitted,waiting_minutes_per_admitted,average_queue_vehicles,max_queue_vehicles,final_queue_vehicles,in_transit_final_vehicles,node_cycles,plan_changes,plan_change_rate,green_seconds_ns,green_seconds_ew,ns_green_share,phase_utilization_ns,phase_utilization_ew,emergency_priority_cycles,emergency_priority_node_cycles,emergency_override_plan_changes,emergency_completed,emergency_entry_cycle,emergency_completion_cycle,emergency_travel_time_s,emergency_free_flow_time_s,emergency_delay_s,emergency_stops,emergency_prioritized_intersections,fuel_liters_proxy,co2_kg_proxy,fuel_liters_proxy_per_admitted,co2_kg_proxy_per_admitted,idle_fuel_rate_lph_assumed,emission_factor_kg_per_liter_assumed
balanced_medium,fixed,4,B_corridor,post,44,89,46,0.7666666666666667,5573.679673564908,5573.679673564908,0.0,13392.337152465503,5594.814205614025,7297.583746453076,0.0,401774.0284375663,72.08416198424854,1.2014026997374756,6.065429173272438,15.065231060020789,0.0,157.05594519187946,276,0,0.0,8280.0,8280.0,0.5,0.8119593286331914,0.8054726946114347,0,0,0,True,40,42,142.0,90.0,52.0,3,4,66.96233807292772,157.2072821692544,0.012014026997374756,0.02820529549174919,0.6,2.347697029306865
balanced_medium,fixed,4,B_corridor,total,30,89,60,1.0,7279.566250065799,7279.566250065799,0.0,17458.421796233044,7278.718285933929,7278.718285933929,0.0,526290.4355927615,72.29694977884218,1.204949162980703,6.091324486027332,21.000854503037978,0.0,157.05594519187946,360,8,0.022598870056497175,10770.0,10830.0,0.4986111111111111,0.8127521977457219,0.8037932249779898,3,5,5,True,40,42,142.0,90.0,52.0,3,4,87.71507259879358,205.9284153656237,0.012049491629807028,0.028288555703955897,0.6,2.347697029306865
balanced_medium,adaptive,0,A_no_override,during,40,44,5,0.08333333333333333,608.1612481753693,608.1612481753693,0.0,1487.302315106463,613.1640971909068,7357.969166290882,0.0,47585.634819614716,78.2450952973132,1.3040849216218866,6.609115947168711,19.100836201100925,3.1161301576027753,176.09860203222303,30,24,1.0,900.0,900.0,0.5,0.8104540873983328,0.8421040404977369,0,0,0,True,40,44,242.0,90.0,152.0,4,0,7.930939136602452,18.61944225061513,0.013040849216218866,0.03061596296455579,0.6,2.347697029306865
balanced_medium,adaptive,0,A_no_override,post,45,89,45,0.75,5374.780604273451,5374.780604273451,0.0,12873.28122460508,5364.671009520072,7152.894679360096,0.0,407653.15288100054,75.84554289655625,1.2640923816092708,6.290943717299391,19.721806114638845,11.47693722845225,177.84738971475193,270,216,0.8181818181818182,8100.0,8100.0,0.5,0.7963841896861886,0.7929097886601171,0,0,0,True,40,44,242.0,90.0,152.0,4,0,67.94219214683342,159.50768266771703,0.012640923816092707,0.02967705929073525,0.6,2.347697029306865
balanced_medium,adaptive,0,A_no_override,total,30,89,60,1.0,7205.289901892303,7205.289901892303,0.0,17251.520198832488,7187.44758047995,7187.44758047995,0.0,548187.2029158686,76.08121399416558,1.268020233236093,6.344759293007739,19.721806114638845,11.47693722845225,177.84738971475193,360,293,0.827683615819209,10820.0,10780.0,0.5009259259259259,0.7983725173604482,0.7989916104816711,0,0,0,True,40,44,242.0,90.0,152.0,4,0,91.36453381931143,214.49624463160407,0.01268020233236093,0.02976927334669374,0.6,2.347697029306865
balanced_medium,adaptive,0,B_corridor,during,40,44,5,0.08333333333333333,608.1612481753693,608.1612481753693,0.0,1472.2948787695143,607.6661003651964,7291.993204382356,0.0,49880.45937598638,82.01847704969661,1.3669746174949435,6.927841579998108,20.13502511177953,17.74440741375185,166.96832160178445,30,20,0.8333333333333334,870.0,930.0,0.48333333333333334,0.8266242567015637,0.8098191133754342,4,7,4,True,40,43,202.0,90.0,112.0,4,4,8.31340989599773,19.517367716244163,0.013669746174949435,0.03209242248630767,0.6,2.347697029306865
balanced_medium,adaptive,0,B_corridor,post,45,89,45,0.75,5374.780604273451,5374.780604273451,0.0,12888.28866094203,5370.169006345783,7160.225341794377,0.0,407990.97833368817,75.90839670912285,1.2651399451520475,6.296157073050743,19.721806114638845,11.47693722845225,177.84738971475193,270,208,0.7878787878787878,8090.0,8110.0,0.4993827160493827,0.7986350447201814,0.7925192539032992,0,0,0,True,40,43,202.0,90.0,112.0,4,4,67.99849638894803,159.63986796966688,0.012651399451520476,0.029701652908909124,0.6,2.347697029306865
balanced_medium,adaptive,0,B_corridor,total,30,89,60,1.0,7205.289901892303,7205.289901892303,0.0,17251.520198832488,7187.44758047995,7187.44758047995,0.0,550819.852924928,76.44659138284885,1.2741098563808142,6.375229779223703,20.13502511177953,11.47693722845225,177.84738971475193,360,280,0.7909604519774012,10780.0,10820.0,0.49907407407407406,0.8013349385751439,0.7960378522174135,4,7,4,True,40,43,202.0,90.0,112.0,4,4,91.80330882082131,215.52635539918293,0.01274109856380814,0.029912239248358338,0.6,2.347697029306865
balanced_medium,adaptive,1,A_no_override,during,40,44,5,0.08333333333333333,601.784824475695,601.784824475695,0.0,1417.1460427346326,591.3403712418159,7096.084454901791,0.0,46352.14620048635,77.02445178950907,1.2837408631584846,6.437798083400882,18.15505037573719,20.347202852582605,165.6261886330447,30,24,1.0,910.0,890.0,0.5055555555555555,0.7931845705429232,0.7812899815062612,0,0,0,True,40,44,242.0,90.0,152.0,4,0,7.725357700081058,18.136799322813214,0.012837408631584845,0.030138346108370045,0.6,2.347697029306865
balanced_medium,adaptive,1,A_no_override,post,45,89,45,0.75,5350.018395275861,5350.018395275861,0.0,12832.145736473047,5358.010494495548,7144.013992660731,0.0,409386.77285097213,76.5206290154939,1.2753438169248983,6.3176971118977185,19.859195273010943,11.673604563894676,166.30768770204529,270,183,0.6931818181818182,8080.0,8120.0,0.49876543209876545,0.8037073308505532,0.7805653329064758,0,0,0,True,40,44,242.0,90.0,152.0,4,0,68.23112880849536,160.18601840995862,0.012753438169248984,0.029941208903394623,0.6,2.347697029306865
