case,seed,controller,cycles,start_cycle,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate,waiting_per_admitted,qubo_energy,plan_I1,plan_I2,plan_I3,plan_I4,plan_I5,plan_I6,one_hot_valid
time_varying,1,qubo_receding,60,30,6545.795327263639,233.34947570820046,6578.350796229671,6578.350796229671,666398.5800048386,7.712946527833781,40.0,100.0,0.0,6779.144802971839,16334.169980831952,156.2792293228369,0.0,1.0,0.0,0,0.0,101.80559377242483,9897.050695820277,,,,,,,
time_varying,2,fixed,60,30,6557.205777618609,224.82683954073218,6590.346000558834,6590.346000558834,669570.6897208054,7.74966076065747,40.0,100.0,0.0,6782.0326171593415,16407.9738345738,151.35520797099383,0.0,1.0,0.0,0,0.0,102.11219724203538,,,,,,,,
time_varying,2,adaptive,60,30,6766.432195998616,15.600421160725276,6779.3143464820505,6779.3143464820505,679180.0292875376,7.860879968605759,40.0,100.25807245679069,0.0,6782.0326171593415,17060.11998902153,171.35520797099383,0.4083333333333333,0.33611111111111114,0.25555555555555554,253,0.7146892655367232,100.37491097437969,,,,,,,,
time_varying,2,qubo_static,60,30,6557.205777618609,224.82683954073218,6590.346000558834,6590.346000558834,669570.6897208054,7.74966076065747,40.0,100.0,0.0,6782.0326171593415,16407.9738345738,151.35520797099383,0.0,1.0,0.0,0,0.0,102.11219724203538,15491.940561257354,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
time_varying,2,qubo_receding,60,30,6557.205777618609,224.82683954073218,6590.346000558834,6590.346000558834,669570.6897208054,7.74966076065747,40.0,100.0,0.0,6782.0326171593415,16407.9738345738,151.35520797099383,0.0,1.0,0.0,0,0.0,102.11219724203538,9968.831488049585,,,,,,,
time_varying,3,fixed,60,30,6576.429215185796,265.1462907461795,6611.147903758321,6611.147903758321,691691.0081684751,8.005682964912907,40.0,100.0,0.0,6841.575505931975,16446.186911835157,151.43450675814123,0.0,1.0,0.0,0,0.0,105.17729082695428,,,,,,,,
time_varying,3,adaptive,60,30,6841.14293649353,0.43256943844518503,6872.863656290009,6872.863656290009,683593.2850175551,7.911959317332814,40.0,72.99796877604625,0.0,6841.575505931975,17321.33416943022,181.43450675814123,0.4777777777777778,0.26944444444444443,0.25277777777777777,276,0.7796610169491526,99.92384187311471,,,,,,,,
time_varying,3,qubo_static,60,30,6576.429215185796,265.1462907461795,6611.147903758321,6611.147903758321,691691.0081684751,8.005682964912907,40.0,100.0,0.0,6841.575505931975,16446.186911835157,151.43450675814123,0.0,1.0,0.0,0,0.0,105.17729082695428,15643.40486386761,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
time_varying,3,qubo_receding,60,30,6576.429215185796,265.1462907461795,6611.147903758321,6611.147903758321,691691.0081684751,8.005682964912907,40.0,100.0,0.0,6841.575505931975,16446.186911835157,151.43450675814123,0.0,1.0,0.0,0,0.0,105.17729082695428,10427.724218697864,,,,,,,
time_varying,4,fixed,60,30,6631.985706979702,275.6128248551636,6662.995917273241,6662.995917273241,683582.738608987,7.91183725241883,40.0,96.3608449587241,0.0,6907.598531834866,16563.662044647725,155.60011075814677,0.0,1.0,0.0,0,0.0,103.07361457211283,,,,,,,,
time_varying,4,adaptive,60,30,6892.166581767894,15.431950066971325,6917.982892800513,6917.982892800513,690108.1916130867,7.987363328855171,40.0,92.05992759869918,0.0,6907.598531834866,17428.117787850486,165.0949273790916,0.5194444444444445,0.17777777777777778,0.30277777777777776,280,0.7909604519774012,100.12935459782062,,,,,,,,
time_varying,4,qubo_static,60,30,6631.985706979702,275.6128248551636,6662.995917273241,6662.995917273241,683582.738608987,7.91183725241883,40.0,96.3608449587241,0.0,6907.598531834866,16563.662044647725,155.60011075814677,0.0,1.0,0.0,0,0.0,103.07361457211283,15409.853894891465,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
time_varying,4,qubo_receding,60,30,6631.985706979702,275.6128248551636,6662.995917273241,6662.995917273241,683582.738608987,7.91183725241883,40.0,96.3608449587241,0.0,6907.598531834866,16563.662044647725,155.60011075814677,0.0,1.0,0.0,0,0.0,103.07361457211283,10218.053094751465,,,,,,,
