scenario,seed,controller,cycles,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate
high,4,adaptive_dwell2,120,18177.165579585162,1102.8942425713778,17656.008717643614,8828.004358821807,3419173.6286108852,19.786884424831513,40.0,311.1568619415474,0.0,19280.05982215654,42721.68507443337,210.0,0.4861111111111111,0.03194444444444444,0.48194444444444445,352,0.49299719887955185
ns_heavy,0,fixed,120,13830.291266103697,2036.2299410812686,13541.394968299906,6770.697484149953,1940289.960746093,11.22852986542878,40.0,149.6277502818025,0.0,15866.521207184966,30079.61398942603,139.26854752198773,0.0,1.0,0.0,0,0.0
ns_heavy,0,adaptive,120,15851.266037336289,15.255169848677298,15610.943486984193,7805.471743492097,1503702.6702376865,8.701983045356982,40.0,81.05400283010754,0.0,15866.521207184966,34254.70535335785,159.26854752198773,0.05138888888888889,0.2791666666666667,0.6694444444444444,438,0.6134453781512605
ns_heavy,0,adaptive_dwell2,120,15708.01479305965,158.50641412531456,15423.622769300606,7711.811384650303,1768231.039885115,10.232818517853675,40.0,125.12347623705794,0.0,15866.521207184966,33899.46043300055,159.26854752198773,0.05,0.3472222222222222,0.6027777777777777,273,0.38235294117647056
ns_heavy,1,fixed,120,13774.92940188359,2036.5128552851868,13491.37880068798,6745.68940034399,1936146.8837592443,11.20455372545859,40.0,149.552427342211,0.0,15811.442257168777,29921.650053927428,133.99817385339833,0.0,1.0,0.0,0,0.0
ns_heavy,1,adaptive,120,15801.122559830494,10.319697338282339,15585.84917367834,7792.92458683917,1502792.363021285,8.696715063780585,40.0,57.652451298455325,0.0,15811.442257168777,34152.039513804826,157.6209348536983,0.03333333333333333,0.2861111111111111,0.6805555555555556,435,0.6092436974789915
ns_heavy,1,adaptive_dwell2,120,15663.4109930221,148.03126414667685,15384.986004551341,7692.493002275671,1796607.7905269985,10.397035824809018,40.0,129.42681461736058,0.0,15811.442257168777,33768.86446165415,148.99817385339833,0.05,0.32916666666666666,0.6208333333333333,263,0.36834733893557425
ns_heavy,2,fixed,120,13816.580778427515,1935.9931620666123,13527.857908631893,6763.928954315947,1937137.5666309663,11.210286843929202,40.0,148.68712785239245,0.0,15752.573940494127,30040.92071138975,140.03574194322897,0.0,1.0,0.0,0,0.0
ns_heavy,2,adaptive,120,15746.325274985626,6.248665508501318,15526.186479164206,7763.093239582103,1444815.8383722056,8.361202768357671,40.0,60.10305387819213,0.0,15752.573940494127,34072.57785245437,160.03574194322897,0.04027777777777778,0.3138888888888889,0.6458333333333334,462,0.6470588235294118
ns_heavy,2,adaptive_dwell2,120,15572.764395875662,179.8095446184658,15305.712113620793,7652.856056810397,1812337.0777981796,10.48806179281354,40.0,117.0165403116388,0.0,15752.573940494127,33656.62912136755,150.03574194322897,0.07777777777777778,0.32083333333333336,0.6013888888888889,274,0.38375350140056025
